02 Dec 2024 - 21:35:13.145 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/Interview_questions (PostgreSQL 14.13)
02 Dec 2024 - 21:35:13.212 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.044s)
02 Dec 2024 - 21:35:13.230 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
02 Dec 2024 - 21:35:13.233 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
02 Dec 2024 - 21:35:58.249 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
02 Dec 2024 - 21:35:58.253 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
02 Dec 2024 - 21:35:58.257 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
02 Dec 2024 - 21:36:01.145 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 16696 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
02 Dec 2024 - 21:36:01.157 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "dev"
02 Dec 2024 - 21:36:02.156 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02 Dec 2024 - 21:36:02.238 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73 ms. Found 5 JPA repository interfaces.
02 Dec 2024 - 21:36:02.831 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
02 Dec 2024 - 21:36:02.844 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
02 Dec 2024 - 21:36:02.844 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
02 Dec 2024 - 21:36:02.927 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
02 Dec 2024 - 21:36:02.927 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1724 ms
02 Dec 2024 - 21:36:03.072 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
02 Dec 2024 - 21:36:03.132 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
02 Dec 2024 - 21:36:03.168 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
02 Dec 2024 - 21:36:03.528 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
02 Dec 2024 - 21:36:03.559 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
02 Dec 2024 - 21:36:03.726 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5b490d5e
02 Dec 2024 - 21:36:03.728 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
02 Dec 2024 - 21:36:03.775 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
02 Dec 2024 - 21:36:05.077 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
02 Dec 2024 - 21:36:05.207 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
02 Dec 2024 - 21:36:05.505 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
02 Dec 2024 - 21:36:06.631 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
02 Dec 2024 - 21:36:06.684 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
02 Dec 2024 - 21:36:06.685 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
02 Dec 2024 - 21:36:07.662 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
02 Dec 2024 - 21:36:07.679 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 7.025 seconds (process running for 7.69)
02 Dec 2024 - 21:36:07.871 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/Interview_questions (PostgreSQL 14.13)
02 Dec 2024 - 21:36:07.943 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.041s)
02 Dec 2024 - 21:36:07.963 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
02 Dec 2024 - 21:36:07.967 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
02 Dec 2024 - 21:36:43.249 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
02 Dec 2024 - 21:36:43.252 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
02 Dec 2024 - 21:36:43.255 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
02 Dec 2024 - 21:36:46.576 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 16260 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
02 Dec 2024 - 21:36:46.590 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "dev"
02 Dec 2024 - 21:36:47.628 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02 Dec 2024 - 21:36:47.720 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 83 ms. Found 5 JPA repository interfaces.
02 Dec 2024 - 21:36:48.341 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
02 Dec 2024 - 21:36:48.353 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
02 Dec 2024 - 21:36:48.354 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
02 Dec 2024 - 21:36:48.427 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
02 Dec 2024 - 21:36:48.428 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1788 ms
02 Dec 2024 - 21:36:48.581 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
